run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-21-20200611-17:03:47-12172,param,,,**.successProbGroup3,0.85,,,,,,,
General-21-20200611-17:03:47-12172,param,,,**.isBinomial,true,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,configname,General,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,datetime,20200611-17:05:17,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,experiment,General,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,inifile,omnetpp.ini,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,iterationvars,$0=2ms,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,iterationvarsf,2ms-,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,measurement,$0=2ms,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,network,CellularNetwork,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,processid,12216,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,repetition,40,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,replication,#40,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,resultdir,results,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,runnumber,40,,,,,,,
General-40-20200611-17:05:17-12216,runattr,,,seedset,40,,,,,,,
General-40-20200611-17:05:17-12216,param,,,**.nUsers,10,,,,,,,
General-40-20200611-17:05:17-12216,param,,,**.timeslot,1ms,,,,,,,
General-40-20200611-17:05:17-12216,param,,,**.lambda,2ms,,,,,,,
