run,type,module,name,attrname,attrvalue,value
General-37-20200127-16:43:49-8576,runattr,,,repetition,37,
General-37-20200127-16:43:49-8576,runattr,,,replication,#37,
General-37-20200127-16:43:49-8576,runattr,,,resultdir,results,
General-37-20200127-16:43:49-8576,runattr,,,runnumber,37,
General-37-20200127-16:43:49-8576,runattr,,,seedset,37,
General-37-20200127-16:43:49-8576,param,,,**.nUsers,10,
General-37-20200127-16:43:49-8576,param,,,**.antenna.timeslot,1ms,
General-37-20200127-16:43:49-8576,param,,,**.antenna.lambda,2ms,
General-37-20200127-16:43:49-8576,param,,,**.antenna.successProbGroup1,0.2,
General-37-20200127-16:43:49-8576,param,,,**.antenna.successProbGroup2,0.5,
General-37-20200127-16:43:49-8576,param,,,**.antenna.successProbGroup3,0.9,
General-37-20200127-16:43:49-8576,param,,,**.antenna.isBinomial,true,
General-39-20200127-16:44:01-12820,runattr,,,configname,General,
General-39-20200127-16:44:01-12820,runattr,,,datetime,20200127-16:44:01,
General-39-20200127-16:44:01-12820,runattr,,,experiment,General,
General-39-20200127-16:44:01-12820,runattr,,,inifile,omnetpp.ini,
General-39-20200127-16:44:01-12820,runattr,,,iterationvars,,
General-39-20200127-16:44:01-12820,runattr,,,iterationvarsf,,
General-39-20200127-16:44:01-12820,runattr,,,measurement,,
General-39-20200127-16:44:01-12820,runattr,,,network,CellularNetwork,
General-39-20200127-16:44:01-12820,runattr,,,processid,12820,
General-39-20200127-16:44:01-12820,runattr,,,repetition,39,
General-39-20200127-16:44:01-12820,runattr,,,replication,#39,
General-39-20200127-16:44:01-12820,runattr,,,resultdir,results,
General-39-20200127-16:44:01-12820,runattr,,,runnumber,39,
General-39-20200127-16:44:01-12820,runattr,,,seedset,39,
General-39-20200127-16:44:01-12820,param,,,**.nUsers,10,
General-39-20200127-16:44:01-12820,param,,,**.antenna.timeslot,1ms,
General-39-20200127-16:44:01-12820,param,,,**.antenna.lambda,2ms,
General-39-20200127-16:44:01-12820,param,,,**.antenna.successProbGroup1,0.2,
General-39-20200127-16:44:01-12820,param,,,**.antenna.successProbGroup2,0.5,
General-39-20200127-16:44:01-12820,param,,,**.antenna.successProbGroup3,0.9,
General-39-20200127-16:44:01-12820,param,,,**.antenna.isBinomial,true,
General-29-20200127-16:43:00-12188,runattr,,,configname,General,
General-29-20200127-16:43:00-12188,runattr,,,datetime,20200127-16:43:00,
General-29-20200127-16:43:00-12188,runattr,,,experiment,General,
General-29-20200127-16:43:00-12188,runattr,,,inifile,omnetpp.ini,
General-29-20200127-16:43:00-12188,runattr,,,iterationvars,,
General-29-20200127-16:43:00-12188,runattr,,,iterationvarsf,,
General-29-20200127-16:43:00-12188,runattr,,,measurement,,
