run,type,module,name,attrname,attrvalue,value
General-44-20200224-18:11:08-15480,param,,,**.antenna.lambda,5ms,
General-44-20200224-18:11:08-15480,param,,,**.antenna.successProbGroup1,0.125,
General-44-20200224-18:11:08-15480,param,,,**.antenna.successProbGroup2,0.25,
General-44-20200224-18:11:08-15480,param,,,**.antenna.successProbGroup3,0.625,
General-44-20200224-18:11:08-15480,param,,,**.antenna.isBinomial,false,
General-47-20200224-18:11:13-12820,runattr,,,configname,General,
General-47-20200224-18:11:13-12820,runattr,,,datetime,20200224-18:11:13,
General-47-20200224-18:11:13-12820,runattr,,,experiment,General,
General-47-20200224-18:11:13-12820,runattr,,,inifile,omnetpp.ini,
General-47-20200224-18:11:13-12820,runattr,,,iterationvars,$0=5ms,
General-47-20200224-18:11:13-12820,runattr,,,iterationvarsf,5ms-,
General-47-20200224-18:11:13-12820,runattr,,,measurement,$0=5ms,
General-47-20200224-18:11:13-12820,runattr,,,network,CellularNetwork,
General-47-20200224-18:11:13-12820,runattr,,,processid,12820,
General-47-20200224-18:11:13-12820,runattr,,,repetition,47,
General-47-20200224-18:11:13-12820,runattr,,,replication,#47,
General-47-20200224-18:11:13-12820,runattr,,,resultdir,results,
General-47-20200224-18:11:13-12820,runattr,,,runnumber,47,
General-47-20200224-18:11:13-12820,runattr,,,seedset,47,
General-47-20200224-18:11:13-12820,param,,,**.nUsers,10,
General-47-20200224-18:11:13-12820,param,,,**.antenna.timeslot,1ms,
General-47-20200224-18:11:13-12820,param,,,**.antenna.lambda,5ms,
General-47-20200224-18:11:13-12820,param,,,**.antenna.successProbGroup1,0.125,
General-47-20200224-18:11:13-12820,param,,,**.antenna.successProbGroup2,0.25,
General-47-20200224-18:11:13-12820,param,,,**.antenna.successProbGroup3,0.625,
General-47-20200224-18:11:13-12820,param,,,**.antenna.isBinomial,false,
General-49-20200224-18:11:16-14740,runattr,,,configname,General,
General-49-20200224-18:11:16-14740,runattr,,,datetime,20200224-18:11:16,
General-49-20200224-18:11:16-14740,runattr,,,experiment,General,
General-49-20200224-18:11:16-14740,runattr,,,inifile,omnetpp.ini,
General-49-20200224-18:11:16-14740,runattr,,,iterationvars,$0=5ms,
General-49-20200224-18:11:16-14740,runattr,,,iterationvarsf,5ms-,
General-49-20200224-18:11:16-14740,runattr,,,measurement,$0=5ms,
General-49-20200224-18:11:16-14740,runattr,,,network,CellularNetwork,
General-49-20200224-18:11:16-14740,runattr,,,processid,14740,
General-49-20200224-18:11:16-14740,runattr,,,repetition,49,
General-49-20200224-18:11:16-14740,runattr,,,replication,#49,
General-49-20200224-18:11:16-14740,runattr,,,resultdir,results,
General-49-20200224-18:11:16-14740,runattr,,,runnumber,49,
General-49-20200224-18:11:16-14740,runattr,,,seedset,49,
General-49-20200224-18:11:16-14740,param,,,**.nUsers,10,
General-49-20200224-18:11:16-14740,param,,,**.antenna.timeslot,1ms,
General-49-20200224-18:11:16-14740,param,,,**.antenna.lambda,5ms,
General-49-20200224-18:11:16-14740,param,,,**.antenna.successProbGroup1,0.125,
General-49-20200224-18:11:16-14740,param,,,**.antenna.successProbGroup2,0.25,
General-49-20200224-18:11:16-14740,param,,,**.antenna.successProbGroup3,0.625,
General-49-20200224-18:11:16-14740,param,,,**.antenna.isBinomial,false,
General-5-20200224-18:10:06-22424,runattr,,,configname,General,
General-5-20200224-18:10:06-22424,runattr,,,datetime,20200224-18:10:06,
General-5-20200224-18:10:06-22424,runattr,,,experiment,General,
General-5-20200224-18:10:06-22424,runattr,,,inifile,omnetpp.ini,
General-5-20200224-18:10:06-22424,runattr,,,iterationvars,$0=5ms,
General-5-20200224-18:10:06-22424,runattr,,,iterationvarsf,5ms-,
General-5-20200224-18:10:06-22424,runattr,,,measurement,$0=5ms,
General-5-20200224-18:10:06-22424,runattr,,,network,CellularNetwork,
General-5-20200224-18:10:06-22424,runattr,,,processid,22424,
General-5-20200224-18:10:06-22424,runattr,,,repetition,5,
General-5-20200224-18:10:06-22424,runattr,,,replication,#5,
General-5-20200224-18:10:06-22424,runattr,,,resultdir,results,
General-5-20200224-18:10:06-22424,runattr,,,runnumber,5,
General-5-20200224-18:10:06-22424,runattr,,,seedset,5,
General-5-20200224-18:10:06-22424,param,,,**.nUsers,10,
General-5-20200224-18:10:06-22424,param,,,**.antenna.timeslot,1ms,
General-5-20200224-18:10:06-22424,param,,,**.antenna.lambda,5ms,
General-5-20200224-18:10:06-22424,param,,,**.antenna.successProbGroup1,0.125,
General-5-20200224-18:10:06-22424,param,,,**.antenna.successProbGroup2,0.25,
General-5-20200224-18:10:06-22424,param,,,**.antenna.successProbGroup3,0.625,
General-5-20200224-18:10:06-22424,param,,,**.antenna.isBinomial,false,
General-43-20200224-18:11:06-19724,runattr,,,configname,General,
General-43-20200224-18:11:06-19724,runattr,,,datetime,20200224-18:11:06,
General-43-20200224-18:11:06-19724,runattr,,,experiment,General,
General-43-20200224-18:11:06-19724,runattr,,,inifile,omnetpp.ini,
General-43-20200224-18:11:06-19724,runattr,,,iterationvars,$0=5ms,
General-43-20200224-18:11:06-19724,runattr,,,iterationvarsf,5ms-,
General-43-20200224-18:11:06-19724,runattr,,,measurement,$0=5ms,
General-43-20200224-18:11:06-19724,runattr,,,network,CellularNetwork,
General-43-20200224-18:11:06-19724,runattr,,,processid,19724,
General-43-20200224-18:11:06-19724,runattr,,,repetition,43,
General-43-20200224-18:11:06-19724,runattr,,,replication,#43,
General-43-20200224-18:11:06-19724,runattr,,,resultdir,results,
General-43-20200224-18:11:06-19724,runattr,,,runnumber,43,
General-43-20200224-18:11:06-19724,runattr,,,seedset,43,
